SP,Júlio Mesquita,438
SP,Junqueirópolis,439
SP,Lavínia,440
SP,Lençóis Paulista,441
SP,Lindóia,442
SP,Lucélia,443
SP,Lucianópolis,444
SP,Luiziânia,445
SP,Lupércio,446
SP,Lutécia,447
SP,Macaubal,448
SP,Macedônia,449
SP,Magda,450
SP,Manduri,451
SP,Marabá Paulista,452
SP,Maracaí,453
SP,Mariápolis,454
SP,Marinópolis,455
SP,Martinópolis,456
SP,Mendonça,457
SP,Meridiano,458
SP,Miguelópolis,459
SP,Mineiros do Tietê,460
SP,Miracatu,461
SP,Mira Estrela,462
SP,Mirandópolis,463
SP,Mirante do Paranapanema,464
SP,Mirassolândia,465
SP,Monções,466
SP,Mongaguá,467
SP,Monte Alto,468
SP,Monte Aprazível,469
SP,Monte Azul Paulista,470
SP,Monte Castelo,471
SP,Morro Agudo,472
SP,Murutinga do Sul,473
SP,Narandiba,474
SP,Natividade da Serra,475
SP,Nhandeara,476
SP,Nipoã,477
SP,Nova Aliança,478
SP,Nova Europa,479
SP,Nova Granada,480
SP,Nova Guataporanga,481
SP,Nova Independência,482
SP,Nova Luzitânia,483
SP,Novo Horizonte,484
SP,Nuporanga,485
SP,Ocauçu,486
SP,Óleo,487
SP,Onda Verde,488
SP,Oriente,489
SP,Orindiúva,490
SP,Oscar Bressane,491
SP,Osvaldo Cruz,492
SP,Ouro Verde,493
SP,Pacaembu,494
SP,Palestina,495
SP,Palmares Paulista,496
SP,Palmeira D'oeste,497
SP,Palmital,498
SP,Panorama,499
SP,Paraguaçu Paulista,500
SP,Paraíso,501
SP,Paranapanema,502
SP,Paranapuã,503
SP,Parapuã,504
SP,Pardinho,505
SP,Pariquera-Açu,506
SP,Patrocínio Paulista,507
SP,Paulicéia,508
SP,Paulo de Faria,509
SP,Pederneiras,510
SP,Pedra Bela,511
SP,Pedranópolis,512
SP,Pedro de Toledo,513
SP,Penápolis,514
SP,Pereira Barreto,515
SP,Peruíbe,516
SP,Piacatu,517
SP,Pilar do Sul,518
SP,Espírito Santo do Pinhal,519
SP,Pinhalzinho,520
SP,Piquerobi,521
SP,Piquete,522
SP,Piraju,523
SP,Pirajuí,524
SP,Pirangi,525
SP,Pirapozinho,526
SP,Piratininga,527
SP,Pitangueiras,528
SP,Planalto,529
SP,Platina,530
SP,Poloni,531
SP,Pongaí,532
SP,Pontal,533
SP,Pontes Gestal,534
SP,Populina,535
SP,Praia Grande,536
SP,Presidente Alves,537
SP,Presidente Bernardes,538
SP,Presidente Epitácio,539
SP,Presidente Venceslau,540
SP,Quatá,541
SP,Queiroz,542
SP,Queluz,543
SP,Quintana,544
SP,Rancharia,545
SP,Redenção da Serra,546
SP,Regente Feijó,547
SP,Reginópolis,548
SP,Restinga,549
SP,Ribeira,550
SP,Ribeirão Bonito,551
SP,Ribeirão Branco,552
SP,Ribeirão Corrente,553
SP,Ribeirão do Sul,554
SP,Riversul,555
SP,Rifaina,556
SP,Rinópolis,557
SP,Riolândia,558
SP,Rubiácea,559
SP,Rubinéia,560
SP,Sabino,561
SP,Sagres,562
SP,Sales,563
SP,Salmourão,564
SP,Salto Grande,565
SP,Sandovalina,566
SP,Santa Adélia,567
SP,Santa Albertina,568
SP,Santa Branca,569
SP,Santa Clara D'oeste,570
SP,Santa Ernestina,571
SP,Santa Fé do Sul,572
SP,Santa Gertrudes,573
SP,Santa Lúcia,574
SP,Santa Mercedes,575
SP,Santana da Ponte Pensa,576
SP,Santa Rita D'oeste,577
SP,Santo Anastácio,578
SP,Santo Antônio da Alegria,579
SP,Santo Antônio do Jardim,580
SP,Santo Antônio do Pinhal,581
SP,Santo Expedito,582
SP,Santópolis do Aguapeí,583
SP,São Bento do Sapucaí,584
SP,São Francisco,585
SP,São João das Duas Pontes,586
SP,São João do Pau D'alho,587
SP,São Joaquim da Barra,588
SP,São José da Bela Vista,589
SP,São José do Barreiro,590
SP,São Luiz do Paraitinga,591
SP,São Miguel Arcanjo,592
SP,Município Ignorado - Sp,593
SP,São Pedro do Turvo,594
SP,São Sebastião,595
SP,São Simão,596
SP,Sarapuí,597
SP,Sarutaiá,598
SP,Sebastianópolis do Sul,599
SP,Serra Azul,600
SP,Sete Barras,601
SP,Severínia,602
SP,Silveiras,603
SP,Sud Mennucci,604
SP,Tabapuã,605
SP,Tabatinga,606
SP,Taciba,607
SP,Taguaí,608
SP,Taiaçu,609
SP,Taiúva,610
SP,Tambaú,611
SP,Tanabi,612
SP,Tapiraí,613
SP,Tapiratiba,614
SP,Taquaritinga,615
SP,Taquarituba,616
SP,Tarabai,617
SP,Tejupá,618
SP,Teodoro Sampaio,619
SP,Terra Roxa,620
SP,Timburi,621
SP,Torrinha,622
SP,Três Fronteiras,623
SP,Tupi Paulista,624
SP,Turiúba,625
SP,Turmalina,626
SP,Ubatuba,627
SP,Ubirajara,628
SP,União Paulista,629
SP,Urânia,630
SP,Uru,631
SP,Urupês,632
SP,Valentim Gentil,633
SP,Vera Cruz,634
SP,Viradouro,635
SP,Vista Alegre do Alto,636
SP,Borebi,637
SP,Dirce Reis,638
SP,Embaúba,639
SP,Espírito Santo do Turvo,640
SP,Euclides da Cunha Paulista,641
SP,Iaras,642
SP,Motuca,643
SP,Rosana,644
SP,Tarumã,645
AC,Brasiléia,646
AC,Cruzeiro do Sul,647
AC,Mâncio Lima,648
AC,Feijó,649
AC,Rio Branco,650
AC,Sena Madureira,651
AC,Tarauacá,652
AC,Xapuri,653
AC,Plácido de Castro,654
AC,Senador Guiomard,655
AC,Manoel Urbano,656
AC,Assis Brasil,657
AC,Acrelândia,658
AC,Bujari,659
AC,Capixaba,660
AC,Porto Acre,661
AC,Epitaciolândia,662
AC,Jordão,663
AC,Marechal Thaumaturgo,664
AC,Porto Walter,665
AC,Rodrigues Alves,666
AC,Santa Rosa do Purus,667
AL,Sao Miguel dos Campos,668
AL,Marechal Deodoro,669
AL,Maceio,670
AL,Campestre,671
